ID,TVC,TVC2,Tubewell,Place
1,2.7,2700,Tubewell of human,Sadar
2,1.7,1700,Tubewell of human,Sadar
3,2.5,2500,Tubewell of human,Sadar
4,5,5000,Tubewell of human,Sadar
5,2.5,2500,Tubewell of human,Sadar
6,1,1000,Tubewell of human,Sadar
7,7.5,7500,Tubewell of human,Birgonj
8,1.1,1100,Tubewell of human,Birgonj
9,1.5,1500,Tubewell of human,Birgonj
10,1.5,1500,Tubewell of human,Birgonj
11,5,5000,Tubewell of human,Birgonj
12,1.5,1500,Tubewell of human,Birgonj
13,1.1,1100,Tubewell of human,Kaharol
14,1.5,1500,Tubewell of human,Kaharol
15,5.5,5500,Tubewell of human,Kaharol
16,4.5,4500,Tubewell of human,Kaharol
17,2,2000,Tubewell of human,Kaharol
18,2.5,2500,Tubewell of human,Kaharol
19,1.1,1100,Tubewell of human,Birol
20,1.5,1500,Tubewell of human,Birol
21,5.5,5500,Tubewell of human,Birol
22,4.5,4500,Tubewell of human,Birol
23,2,2000,Tubewell of human,Birol
24,2.5,2500,Tubewell of human,Birol
25,4.2,4200,Tubewell of human,Chirirbandar
26,3.5,3500,Tubewell of human,Chirirbandar
27,2.5,2500,Tubewell of human,Chirirbandar
28,3,3000,Tubewell of human,Chirirbandar
29,2.5,2500,Tubewell of human,Chirirbandar
30,3.5,3500,Tubewell of human,Chirirbandar
31,2.7,2700,Tubewell of dairy farm,Sadar
32,1.7,1700,Tubewell of dairy farm,Sadar
33,2.5,2500,Tubewell of dairy farm,Sadar
34,7.5,7500,Tubewell of dairy farm,Birgonj
35,1.1,1100,Tubewell of dairy farm,Birgonj
36,1.5,1500,Tubewell of dairy farm,Birgonj
37,1.1,1100,Tubewell of dairy farm,Kaharol
38,1.5,1500,Tubewell of dairy farm,Kaharol
39,5.5,5500,Tubewell of dairy farm,Kaharol
40,4.2,4200,Tubewell of dairy farm,Birol
41,2.5,2500,Tubewell of dairy farm,Birol
42,3.5,3500,Tubewell of dairy farm,Birol
43,4.2,4200,Tubewell of dairy farm,Chirirbandar
44,3.5,3500,Tubewell of dairy farm,Chirirbandar
45,2.5,2500,Tubewell of dairy farm,Chirirbandar
46,5,5000,Tubewell of Poultry farm,Sadar
47,2.5,2500,Tubewell of Poultry farm,Sadar
48,1,1000,Tubewell of Poultry farm,Sadar
49,1.5,1500,Tubewell of Poultry farm,Birgonj
50,5,5000,Tubewell of Poultry farm,Birgonj
51,1.5,1500,Tubewell of Poultry farm,Birgonj
52,4.5,4500,Tubewell of Poultry farm,Kaharol
53,2,2000,Tubewell of Poultry farm,Kaharol
54,2.5,2500,Tubewell of Poultry farm,Kaharol
55,3.7,3700,Tubewell of Poultry farm,Birol
56,2.5,2500,Tubewell of Poultry farm,Birol
57,1.5,1500,Tubewell of Poultry farm,Birol
58,3,3000,Tubewell of Poultry farm,Chirirbandar
59,2.5,2500,Tubewell of Poultry farm,Chirirbandar
60,3.5,3500,Tubewell of Poultry farm,Chirirbandar
